"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name"
"1193","Golden State Warriors","11/10/16",2016,2,1,53,"shot_yes","Hook Shot","2PT Field Goal",8,"Denver Nuggets",-40,80,"Kevin Durant"
"1194","Golden State Warriors","1/4/17",2016,2,8,57,"shot_yes","Hook Shot","2PT Field Goal",5,"Portland Trail Blazers",-45,26,"Kevin Durant"
"1195","Golden State Warriors","1/8/17",2016,2,0,46,"shot_yes","Jump Bank Shot","2PT Field Goal",4,"Sacramento Kings",43,13,"Kevin Durant"
"1196","Golden State Warriors","1/29/17",2016,3,6,26,"shot_yes","Jump Bank Shot","2PT Field Goal",2,"Portland Trail Blazers",-24,16,"Kevin Durant"
"1197","Golden State Warriors","10/30/16",2016,2,7,22,"shot_yes","Jump Bank Shot","2PT Field Goal",9,"Phoenix Suns",-88,31,"Kevin Durant"
"1198","Golden State Warriors","1/25/17",2016,4,3,3,"shot_yes","Jump Shot","2PT Field Goal",17,"Charlotte Hornets",28,170,"Kevin Durant"
"1199","Golden State Warriors","11/4/16",2016,1,8,51,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",36,256,"Kevin Durant"
"1200","Golden State Warriors","11/4/16",2016,3,2,10,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-155,207,"Kevin Durant"
"1201","Golden State Warriors","11/4/16",2016,2,2,7,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-57,246,"Kevin Durant"
"1202","Golden State Warriors","11/4/16",2016,1,2,36,"shot_no","Jump Shot","2PT Field Goal",17,"Los Angeles Lakers",39,168,"Kevin Durant"
"1203","Golden State Warriors","11/4/16",2016,3,8,2,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-201,163,"Kevin Durant"
"1204","Golden State Warriors","11/26/16",2016,2,9,31,"shot_no","Jump Shot","2PT Field Goal",16,"Minnesota Timberwolves",38,156,"Kevin Durant"
"1205","Golden State Warriors","11/10/16",2016,4,7,43,"shot_yes","Jump Shot","2PT Field Goal",11,"Denver Nuggets",1,116,"Kevin Durant"
"1206","Golden State Warriors","11/10/16",2016,1,11,43,"shot_no","Jump Shot","2PT Field Goal",19,"Denver Nuggets",182,75,"Kevin Durant"
"1207","Golden State Warriors","11/10/16",2016,2,10,15,"shot_yes","Jump Shot","2PT Field Goal",16,"Denver Nuggets",115,120,"Kevin Durant"
